date,category,item1,item2,item3,item4,difficulty
01-01,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
01-01,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
01-01,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
01-01,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
01-02,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
01-02,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
01-02,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
01-02,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
01-03,Sleep stages,N1,N2,N3,REM,yellow
01-03,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
01-03,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
01-03,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
01-04,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
01-04,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
01-04,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
01-04,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
01-05,MRI sequences,T1,T2,FLAIR,DWI,yellow
01-05,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
01-05,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
01-05,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
01-06,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
01-06,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
01-06,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
01-06,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
01-07,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
01-07,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
