date,category,item1,item2,item3,item4
2025-08-26,Pasta shapes,Penne,Fusilli,Farfalle,Rigatoni
2025-08-26,Spinning toys,Top,Dreidel,Pinwheel,Gyroscope
2025-08-26,'Green' + ___,Light,Thumb,Room,Belt
2025-08-26,Flightless birds,Ostrich,Emu,Kiwi,Penguin
2025-08-27,Shakespeare tragedies,Hamlet,Macbeth,Othello,King Lear
2025-08-27,Fruits with pits (drupes),Peach,Cherry,Plum,Apricot
2025-08-27,___ + 'line',Punch,Dead,Sky,Life
2025-08-27,SI prefixes (10^3 and up),Kilo,Mega,Giga,Tera
2025-08-28,Ringed planets,Saturn,Jupiter,Uranus,Neptune
2025-08-28,Web browsers,Chrome,Firefox,Safari,Edge
2025-08-28,Famous fictional detectives,Sherlock Holmes,Hercule Poirot,Miss Marple,Sam Spade
2025-08-28,Marine mammals,Dolphin,Whale,Seal,Manatee
2025-08-29,Countries starting with 'S',Spain,Sweden,Sudan,Singapore
2025-08-29,Gemstones (common),Diamond,Ruby,Sapphire,Emerald
2025-08-29,'Paper' + ___,Cut,Clip,Back,Work
2025-08-29,Cooking techniques,Sauté,Roast,Braise,Poach
2025-08-30,'Rain' + ___,Bow,Drop,Coat,Check
2025-08-30,Car body styles,Sedan,Coupe,Hatchback,Convertible
2025-08-30,Complete metamorphosis stages,Egg,Larva,Pupa,Adult
2025-08-30,Currency names,Dollar,Euro,Yen,Pound
2025-08-31,Medical imaging modalities,CT,MRI,Ultrasound,PET
2025-08-31,Carpal bones (proximal row),Scaphoid,Lunate,Triquetrum,Pisiform
2025-08-31,Words ending with '-graph',Autograph,Photograph,Telegraph,Paragraph
2025-08-31,Programming languages,Python,JavaScript,Ruby,Go
2025-09-01,Sonoran Desert plants,Saguaro,Ocotillo,Agave,Creosote
2025-09-01,Palindromes,Level,Radar,Civic,Kayak
2025-09-01,Famous painters,Picasso,Monet,Van Gogh,Rembrandt
2025-09-01,Constellations,Orion,Leo,Gemini,Taurus
