date,category,item1,item2,item3,item4,difficulty,URL
08-01,Autoimmune fundamentals,MOG antibody disease,ADEM,LGI1 encephalitis,anti-NMDA encephalitis,yellow,https://radiopaedia.org/articles/myelin-oligodendrocyte-glycoprotein-antibody-associated-disease-mogad | https://www.ncbi.nlm.nih.gov/books/NBK430934/ | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8665890/ | https://www.ncbi.nlm.nih.gov/books/NBK551672/
08-01,Autoimmune cases,NMOSD,GAD65 encephalitis,CASPR2 encephalitis,multiple sclerosis,green,https://www.ncbi.nlm.nih.gov/books/NBK572108/ | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9073401/ | https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8884636/ | https://www.ncbi.nlm.nih.gov/books/NBK499849/
08-01,Cortical clues,transcortical aphasia,agraphia,ideational apraxia,agnosia,blue,https://www.ncbi.nlm.nih.gov/books/NBK559315/ | https://www.ncbi.nlm.nih.gov/books/NBK560722/ | https://www.ncbi.nlm.nih.gov/books/NBK585110/ | https://www.ncbi.nlm.nih.gov/books/NBK513111/
08-01,Metabolic fundamentals,hyponatremic encephalopathy,hypothyroid myopathy,diabetic amyotrophy,hepatic encephalopathy,purple,https://www.ncbi.nlm.nih.gov/books/NBK537105/ | https://www.ncbi.nlm.nih.gov/books/NBK544237/ | https://www.ncbi.nlm.nih.gov/books/NBK560491/ | https://www.ncbi.nlm.nih.gov/books/NBK430869/
08-02,NMJ spectrum,Lambert-Eaton syndrome,congenital myasthenic,myasthenia gravis,botulism,yellow,https://www.ncbi.nlm.nih.gov/books/NBK507835/ | https://www.ncbi.nlm.nih.gov/books/NBK560923/ | https://www.ncbi.nlm.nih.gov/books/NBK559331/ | https://www.ncbi.nlm.nih.gov/books/NBK459273/
08-02,Toxic classics,amiodarone neuropathy,vincristine neuropathy,isoniazid neuropathy,linezolid neuropathy,green,https://www.ncbi.nlm.nih.gov/books/NBK482154/ | https://www.ncbi.nlm.nih.gov/books/NBK499826/ | https://www.ncbi.nlm.nih.gov/books/NBK482154/ | https://www.ncbi.nlm.nih.gov/books/NBK539793/
08-02,Peripheral basics,cubital tunnel syndrome,tarsal tunnel syndrome,radial neuropathy,meralgia paresthetica,blue,https://www.ncbi.nlm.nih.gov/books/NBK538259/ | https://www.ncbi.nlm.nih.gov/books/NBK513273/ | https://www.ncbi.nlm.nih.gov/books/NBK557520/ | https://www.ncbi.nlm.nih.gov/books/NBK557735/
08-02,Toxic manifestations,isoniazid neuropathy,linezolid neuropathy,vincristine neuropathy,amiodarone neuropathy,purple,https://www.ncbi.nlm.nih.gov/books/NBK482154/ | https://www.ncbi.nlm.nih.gov/books/NBK539793/ | https://www.ncbi.nlm.nih.gov/books/NBK499826/ | https://www.ncbi.nlm.nih.gov/books/NBK482154/
08-03,Tumor manifestations,craniopharyngioma,hemangioblastoma,schwannoma,glioblastoma,yellow,https://www.ncbi.nlm.nih.gov/books/NBK519027/ | https://www.ncbi.nlm.nih.gov/books/NBK606126/ | https://www.ncbi.nlm.nih.gov/books/NBK560827/ | https://www.ncbi.nlm.nih.gov/books/NBK558954/
08-03,Infectious syndromes,listeria meningitis,tuberculous meningitis,toxoplasma abscess,West Nile encephalitis,green,https://www.ncbi.nlm.nih.gov/books/NBK560885/ | https://www.ncbi.nlm.nih.gov/books/NBK541017/ | https://www.ncbi.nlm.nih.gov/books/NBK560807/ | https://www.ncbi.nlm.nih.gov/books/NBK430704/
08-03,Infectious aspects,VZV vasculopathy,neurosyphilis,HSV encephalitis,cryptococcal meningitis,blue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710507/ | https://www.ncbi.nlm.nih.gov/books/NBK540979/ | https://www.ncbi.nlm.nih.gov/books/NBK557498/ | https://www.ncbi.nlm.nih.gov/books/NBK525986/
08-03,Cognitive essentials,vascular dementia,primary progressive aphasia,Korsakoff syndrome,posterior cortical atrophy,purple,https://www.ncbi.nlm.nih.gov/books/NBK430817/ | https://www.ncbi.nlm.nih.gov/books/NBK563145/ | https://www.ncbi.nlm.nih.gov/books/NBK539854/ | https://www.ncbi.nlm.nih.gov/books/NBK580553/
