date,category,item1,item2,item3,item4,difficulty
01-01,Exam overview,Brudzinski sign,Hoffmann sign,Kernig sign,Romberg test,yellow
01-01,Movement essentials,rigidity,athetosis,parkinsonian gait,akinesia,green
01-01,Cortical patterns,acalculia,agnosia,agraphia,aphasia,blue
01-01,Movement signs,tremor,myoclonus,micrographia,dystonia,purple
01-02,Infectious spectrum,cryptococcal meningitis,tuberculous meningitis,VZV vasculopathy,HSV encephalitis,yellow
01-02,Imaging syndromes,insular ribbon sign,Dawson fingers,hyperdense MCA sign,eye of the tiger sign,green
01-02,Infectious classics,West Nile encephalitis,listeria meningitis,neurosyphilis,toxoplasma abscess,blue
01-02,Headache entities,trigeminal neuralgia,SUNA,cluster headache,paroxysmal hemicrania,purple
01-03,Brainstem essentials,Wallenberg syndrome,one-and-a-half syndrome,Parinaud syndrome,Claude syndrome,yellow
01-03,Cerebellar presentations,wide-based gait,truncal ataxia,intention tremor,nystagmus,green
01-03,Visual signs,oscillopsia,amaurosis fugax,photopsia,diplopia,blue
01-03,Brainstem signs,Benedikt syndrome,internuclear ophthalmoplegia,Weber syndrome,Horner syndrome,purple
01-04,Autoimmune pearls,NMOSD,MOG antibody disease,multiple sclerosis,CASPR2 encephalitis,yellow
01-04,Cognitive insights,Alzheimer disease,primary progressive aphasia,frontotemporal dementia,mild cognitive impairment,green
01-04,Metabolic clues,B12 deficiency,hepatic encephalopathy,hypothyroid myopathy,hypoglycemic encephalopathy,blue
01-04,Metabolic types,hyperammonemic encephalopathy,hyponatremic encephalopathy,Wernicke encephalopathy,diabetic amyotrophy,purple
01-05,Peripheral pearls,carpal tunnel syndrome,Bell palsy,Saturday night palsy,cubital tunnel syndrome,yellow
01-05,Vascular concepts,clopidogrel,dipyridamole,rivaroxaban,aspirin,green
01-05,Vascular phenotypes,edoxaban,dabigatran,ticagrelor,apixaban,blue
01-05,Peripheral signs,meralgia paresthetica,radial neuropathy,peroneal neuropathy,tarsal tunnel syndrome,purple
01-06,Imaging aspects,insular ribbon sign,Dawson fingers,pulvinar sign,empty delta sign,yellow
