date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4
08-26,Visual field syndromes,bitemporal hemianopia,homonymous hemianopia,quadrantanopia,central scotoma,yellow,https://radiopaedia.org/articles/bitemporal-hemianopia?lang=us,https://radiopaedia.org/articles/homonymous-hemianopia?lang=us,https://radiopaedia.org/articles/quadrantanopia?lang=us,https://radiopaedia.org/articles/central-scotoma?lang=us
08-26,Brainstem syndromes,internuclear ophthalmoplegia,one-and-a-half syndrome,Parinaud syndrome,Horner syndrome,green,https://radiopaedia.org/articles/internuclear-ophthalmoplegia?lang=us,https://radiopaedia.org/articles/one-and-a-half-syndrome?lang=us,https://radiopaedia.org/articles/parinaud-syndrome?lang=us,https://radiopaedia.org/articles/horner-syndrome?lang=us
08-26,Headache entities,cluster headache,paroxysmal hemicrania,SUNCT,SUNA,blue,https://radiopaedia.org/articles/cluster-headache-1?lang=us,https://radiopaedia.org/articles/paroxysmal-hemicrania?lang=us,https://radiopaedia.org/articles/short-lasting-unilateral-neuralgiform-headache-attacks-with-conjunctival-injection-and-tearing-sunct?lang=us,https://radiopaedia.org/articles/short-lasting-unilateral-neuralgiform-headache-attacks-with-autonomic-symptoms-suna?lang=us
08-26,Ischemic stroke patterns,lacunar infarct,watershed infarct,thalamic infarct,MCA infarct,purple,https://radiopaedia.org/articles/lacunar-infarct?lang=us,https://radiopaedia.org/articles/watershed-infarct?lang=us,https://radiopaedia.org/articles/thalamic-infarct?lang=us,https://radiopaedia.org/articles/middle-cerebral-artery-territory-infarcts?lang=us
08-27,Imaging signs,hyperdense MCA sign,insular ribbon sign,empty delta sign,hot cross bun sign,yellow,https://radiopaedia.org/articles/hyperdense-middle-cerebral-artery-sign?lang=us,https://radiopaedia.org/articles/insular-ribbon-sign?lang=us,https://radiopaedia.org/articles/empty-delta-sign?lang=us,https://radiopaedia.org/articles/hot-cross-bun-sign?lang=us
08-27,Brainstem findings,Wallenberg syndrome,Weber syndrome,Benedikt syndrome,Claude syndrome,green,https://radiopaedia.org/articles/lateral-medullary-syndrome?lang=us,https://radiopaedia.org/articles/weber-syndrome?lang=us,https://radiopaedia.org/articles/benedikt-syndrome?lang=us,https://radiopaedia.org/articles/claude-syndrome?lang=us
08-27,Demyelinating spectrum,multiple sclerosis,NMOSD,MOG antibody disease,ADEM,blue,https://radiopaedia.org/articles/multiple-sclerosis?lang=us,https://radiopaedia.org/articles/neuromyelitis-optica-spectrum-disorder?lang=us,https://radiopaedia.org/articles/myelin-oligodendrocyte-glycoprotein-antibody-associated-disease-mogad?lang=us,https://radiopaedia.org/articles/acute-disseminated-encephalomyelitis-adem-1?lang=us
08-27,Headache syndromes,hemiplegic migraine,thunderclap headache,trigeminal neuralgia,occipital neuralgia,purple,https://radiopaedia.org/articles/hemiplegic-migraine,https://radiopaedia.org/articles/thunderclap-headache?lang=us,https://radiopaedia.org/articles/trigeminal-neuralgia?lang=us,https://radiopaedia.org/articles/occipital-neuralgia?lang=us
08-28,Exam signs,Babinski sign,Hoffmann sign,Kernig sign,Romberg test,green,https://www.ncbi.nlm.nih.gov/books/NBK519009/,https://www.ncbi.nlm.nih.gov/books/NBK545156/,https://radiopaedia.org/articles/kernig-sign?lang=us,https://www.ncbi.nlm.nih.gov/books/NBK563187/
08-28,Eponym imaging signs,hummingbird sign,eye of the tiger sign,pulvinar sign,Dawson fingers,yellow,https://radiopaedia.org/articles/hummingbird-sign-midbrain?lang=us,https://radiopaedia.org/articles/eye-of-the-tiger-sign?lang=us,https://radiopaedia.org/articles/pulvinar-sign?lang=us,https://radiopaedia.org/articles/dawson-fingers?lang=us
