date,category,item1,item2,item3,item4,difficulty
1/1,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
1/1,Posterior circulation arteries,PICA,AICA,SCA,PCA,green
1/1,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
1/1,Thalamic relay nuclei,VPL,VPM,LGN,MGN,purple
1/2,Normal EEG rhythms,Alpha,Beta,Theta,Delta,yellow
1/2,Association fiber tracts,Arcuate fasciculus,Uncinate fasciculus,Cingulum,Inferior longitudinal fasciculus,green
1/2,Autoimmune encephalitis antibodies,Anti-NMDA,LGI1,CASPR2,GAD65,blue
1/2,Spinal cord syndromes,Anterior cord,Posterior cord,Central cord,Brown-Séquard,purple
1/3,Sleep stages,N1,N2,N3,REM,yellow
1/3,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–medial lemniscus,Spinocerebellar,green
1/3,Classic lacunar syndromes,Pure motor,Pure sensory,Ataxic hemiparesis,Dysarthria–clumsy hand,blue
1/3,CNS infections (immunocompromised),Toxoplasmosis,Cryptococcal meningitis,CMV encephalitis,PML,purple
1/4,Dementia types,Alzheimer,Lewy body,Frontotemporal,Vascular,yellow
1/4,Cranial nerves with parasympathetics,III (Oculomotor),VII (Facial),IX (Glossopharyngeal),X (Vagus),green
1/4,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
1/4,Dementia medications,Donepezil,Rivastigmine,Galantamine,Memantine,purple
1/5,MRI sequences,T1,T2,FLAIR,DWI,yellow
1/5,Early ischemic CT signs,Hyperdense MCA sign,Insular ribbon loss,Loss of gray–white,Sulcal effacement,green
1/5,CNS demyelinating disorders,Multiple sclerosis,NMOSD,MOGAD,ADEM,blue
1/5,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,Dihydroergotamine,purple
1/6,Visual pathway anatomy,Optic nerve,Optic chiasm,Optic tract,Optic radiations,yellow
1/6,MS lesion topography,Periventricular,Juxtacortical,Infratentorial,Spinal cord,green
1/6,Neuromuscular junction disorders,Myasthenia gravis,Lambert-Eaton,Botulism,Congenital myasthenic,blue
1/6,Migraine preventives,Topiramate,Propranolol,Amitriptyline,Erenumab,purple
1/7,Glial cell types,Astrocyte,Oligodendrocyte,Microglia,Ependymal cell,yellow
1/7,Trigeminal autonomic cephalalgias,Cluster headache,Paroxysmal hemicrania,SUNCT,SUNA,green
1/7,Motor neuron diseases,ALS,SMA,PLS,PMA,blue
1/7,Peripheral neuropathy types,Axonal,Demyelinating,Small fiber,Large fiber,purple
1/8,Tremor types,Rest,Postural,Intention,Task-specific,yellow
1/8,Pediatric epilepsy syndromes,West (infantile spasms),Lennox–Gastaut,Dravet,Childhood absence epilepsy,green
1/8,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,blue
1/8,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
1/9,Seizure types (ILAE),Focal aware,Focal impaired awareness,Generalized tonic-clonic,Absence,yellow
1/9,Parkinson therapies,Levodopa,Pramipexole,Selegiline,Amantadine,green
1/9,Evoked potentials,VEP,SSEP,BAER,MEP,blue
1/9,GBS variants,AIDP,AMAN,AMSAN,Miller Fisher,purple
