date,category,item1,item2,item3,item4,difficulty
01-01,Spinal nerve roots C1–C4,C1,C2,C3,C4,green
01-01,Pyramidal vs extrapyramidal signs,Spasticity,Hyperreflexia,Rigidity,Bradykinesia,blue
01-01,Toxic neuropathies,Amiodarone,Vincristine,Isoniazid,Linezolid,purple
01-01,Primitive reflexes,Grasp,Suck,Rooting,Moro,yellow
01-02,ASMs: Na⁺ channel blockers,Carbamazepine,Phenytoin,Lamotrigine,Lacosamide,green
01-02,Attention domains,Sustained,Selective,Alternating,Divided,yellow
01-02,Direct oral anticoagulants,Apixaban,Rivaroxaban,Dabigatran,Edoxaban,purple
01-02,Common mononeuropathies,Median (carpal tunnel),Ulnar (cubital tunnel),Radial (spiral groove),Peroneal (fibular head),blue
01-03,Mitochondrial disorders,MELAS,MERRF,LHON,Leigh,purple
01-03,Dopaminergic pathways,Nigrostriatal,Mesolimbic,Mesocortical,Tuberoinfundibular,blue
01-03,Cerebral lobes,Frontal,Parietal,Temporal,Occipital,yellow
01-03,PCA segments,P1,P2,P3,P4,green
01-04,Cerebellar deep nuclei,Dentate,Emboliform,Globose,Fastigial,blue
01-04,Dural venous sinuses,Superior sagittal,Transverse,Sigmoid,Straight,green
01-04,Encephalitis causes,HSV-1,West Nile,Limbic autoimmune,Rabies,purple
01-04,Brodmann areas 5–8,BA5,BA6,BA7,BA8,yellow
01-05,Neuromuscular junction disorders,Myasthenia gravis,Lambert–Eaton,Botulism,Congenital myasthenic,blue
01-05,Autoimmune encephalitis Abs,Anti-NMDA,LGI1,CASPR2,GAD65,purple
01-05,Stroke etiologies (TOAST),Large artery,Cardioembolic,Small vessel,Other,green
01-05,Dermatomes C6–T1,C6,C7,C8,T1,yellow
01-06,Common neurotransmitters,Glutamate,GABA,Dopamine,Serotonin,yellow
01-06,Huntington disease features,Chorea,Psychiatric,Cognitive decline,Caudate atrophy,purple
01-06,Major spinal cord tracts,Lateral corticospinal,Spinothalamic,Dorsal column–ML,Spinocerebellar,green
01-06,Demyelination on NCS/EMG,Slowed velocity,Conduction block,Prolonged latency,Temporal dispersion,blue
01-07,Spinal nerve roots L5–S3,L5,S1,S2,S3,green
01-07,Herpesviridae CNS,HSV-1,HSV-2,VZV,CMV,purple
01-07,Memory systems,Working,Episodic,Semantic,Procedural,yellow
01-07,Migraine abortives,Sumatriptan,Ubrogepant,Rimegepant,DHE,blue
01-08,Cerebellar arteries,SCA,AICA,PICA,PICA tonsillar,green
01-08,Basal ganglia nuclei,Caudate,Putamen,Globus pallidus,Subthalamic nucleus,blue
01-08,Leukodystrophies,Metachromatic,Krabbe,Canavan,Adrenoleukodystrophy,purple
01-08,Dermatomes C2–C5,C2,C3,C4,C5,yellow
01-09,Gait patterns,Hemiparetic,Ataxic,Steppage,Parkinsonian,yellow
01-09,Gait abnormalities,Frontal,Spastic,Sensory ataxic,Antalgic,blue
01-09,MCA segments,M1,M2,M3,M4,green
01-09,Trinucleotide repeats,Huntington (CAG),Fragile X (CGG),Friedreich (GAA),Myotonic (CTG),purple
01-10,NMJ antibodies,AChR,MuSK,LRP4,P/Q-type VGCC,purple
01-10,Visual field defects,Bitemporal hemianopia,Homonymous hemianopia,Quadrantanopia,Central scotoma,green
01-10,Thunderclap etiologies,SAH,RCVS,Cervical dissection,CVT,blue
01-10,Common reflexes,Biceps,Triceps,Patellar,Achilles,yellow
01-11,Cranial nerves 1,CN I (Olfactory),CN II (Optic),CN III (Oculomotor),CN IV (Trochlear),yellow
01-11,Phakomatoses vascular,Sturge–Weber,Von Hippel–Lindau,Cavernoma,Hereditary hemorrhagic telangiectasia,blue
