date,category,item1,item2,item3,item4,difficulty,url1,url2,url3,url4,author
Jan1,Temporal bone vascular variants,Aberrant internal carotid artery,High riding jugular bulb,Jugular bulb dehiscence,Persistent stapedial artery,yellow,https://radiopaedia.org/articles/aberrant-internal-carotid-artery?lang=us,https://radiopaedia.org/articles/high-riding-jugular-bulb-3?lang=us,https://radiopaedia.org/articles/dehiscent-jugular-bulb?lang=us,https://radiopaedia.org/articles/persistent-stapedial-artery?lang=us,
Jan1,Guillain-Barre respiratory monitoring,Negative inspiratory force threshold,Vital capacity threshold,Bulbar dysfunction,Intubation criteria,yellow,https://www.ncbi.nlm.nih.gov/books/NBK532254/,https://www.ncbi.nlm.nih.gov/books/NBK532254/,https://www.ncbi.nlm.nih.gov/books/NBK532254/,https://www.ncbi.nlm.nih.gov/books/NBK532254/,
Jan1,Neurologic adverse effects of antiretrovirals,Efavirenz neuropsychiatric effects,Stavudine neuropathy,Zidovudine myopathy,Didanosine pancreatitis neuropathy,yellow,https://www.ncbi.nlm.nih.gov/books/NBK542316/,https://www.ncbi.nlm.nih.gov/books/NBK548694/,https://www.ncbi.nlm.nih.gov/books/NBK554419/,https://pubmed.ncbi.nlm.nih.gov/8425020/,
Jan1,Movement disorder phenomenology,Resting tremor,Bradykinesia,Tics,Athetosis,yellow,https://radiopaedia.org/articles/parkinson-disease-1,https://www.ncbi.nlm.nih.gov/books/NBK470193/,https://www.ncbi.nlm.nih.gov/books/NBK499958/,https://www.ncbi.nlm.nih.gov/books/NBK430923/,
Jan2,Craniocervical junction anomalies,Basilar invagination,Os odontoideum,Atlanto-occipital assimilation,Chiari 1 ,purple,https://radiopaedia.org/articles/basilar-invagination?lang=us,https://radiopaedia.org/articles/os-odontoideum?lang=us,https://radiopaedia.org/articles/atlanto-occipital-assimilation,https://radiopaedia.org/articles/chiari-1-malformation-1?lang=us,
Jan2,Orbital spaces/compartments,Intraconal ,Extraconal ,Subperiosteal ,Optic nerve-sheath complex,blue,https://radiopaedia.org/articles/intraconal-orbital-compartment?lang=us,https://radiopaedia.org/articles/extraconal-orbital-compartment?lang=us,https://radiopaedia.org/articles/subperiosteal-abscess?lang=us,https://radiopaedia.org/articles/orbital-spaces?lang=us,
Jan2,Movement disorder differentials,Essential tremor,Wilson disease,Dopa-responsive dystonia,Drug-induced parkinsonism,purple,https://www.ninds.nih.gov/health-information/disorders/essential-tremor,https://radiopaedia.org/articles/wilson-disease-2?lang=us,https://pmc.ncbi.nlm.nih.gov/articles/PMC4061475/,https://pmc.ncbi.nlm.nih.gov/articles/PMC3325428/,
Jan2,Temporal bone vascular variants,Aberrant internal carotid artery,High riding jugular bulb,Jugular bulb dehiscence,Persistent stapedial artery,yellow,https://radiopaedia.org/articles/aberrant-internal-carotid-artery?lang=us,https://radiopaedia.org/articles/high-riding-jugular-bulb-3?lang=us,https://radiopaedia.org/articles/dehiscent-jugular-bulb?lang=us,https://radiopaedia.org/articles/persistent-stapedial-artery?lang=us,
Jan3,Movement disorder treatments,Levodopa-carbidopa,Propranolol,Amantadine,Trihexyphenidyl,green,https://www.ncbi.nlm.nih.gov/books/NBK482140/,https://www.ncbi.nlm.nih.gov/books/NBK557801/,https://www.ncbi.nlm.nih.gov/books/NBK499953/,https://www.ncbi.nlm.nih.gov/books/NBK519488/,
Jan3,Status epilepticus management complications,Propofol infusion syndrome,Refractory status epilepticus,Rhabdomyolysis,Lactic acidemia,yellow,https://pmc.ncbi.nlm.nih.gov/articles/PMC9671386/,https://www.e-jnc.org/upload/pdf/jnc-230037.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC6039628/,https://pubmed.ncbi.nlm.nih.gov/40051160/,
Jan3,Acute vertigo bedside tests,Head impulse test,Nystagmus assessment,Test of skew,Gait ataxia assessment,purple,https://pmc.ncbi.nlm.nih.gov/articles/PMC6312070/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6312070/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6312070/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6312070/,
Jan3,Cerebral venous sinus variants,Persistent falcine sinus,Persistent occipital sinus,Sigmoid sinus diverticulum,Hypoplastic transverse sinus,purple,https://radiopaedia.org/articles/falcine-sinus-1?lang=us,https://radiopaedia.org/articles/occipital-sinus?lang=us,https://radiopaedia.org/articles/sigmoid-sinus-diverticulum?lang=us,https://radiopaedia.org/cases/hypoplastic-transverse-sinus?lang=us,
Jan4,Orbit tumors,Cavernous venous malformation of the orbit,Orbital lymphoma,Orbital rhabdomyosarcoma,Lacrimal gland pleomorphic adenoma,purple,https://radiopaedia.org/articles/orbital-cavernous-venous-malformation?lang=us,https://radiopaedia.org/articles/orbital-lymphoma?lang=us,https://radiopaedia.org/articles/rhabdomyosarcoma-orbit?lang=us,https://radiopaedia.org/articles/pleomorphic-adenoma-of-the-lacrimal-glands?lang=us,
